"State","Score","num","denom"
"CA_Calaveras",0,0,6
"CA_Butte",0,0,6
"CA_Amador",0,0,6
"CA_Alameda",0,0,5
"AZ_Yuma",0,0,4
"AZ_Maricopa",0,0,4
"AZ_Cochise",0,0,2
"AR_Phillips",0,0,4
"AR_Miller",0,0,5
"AR_Lonoke",0,0,5
"AR_Little River",0,0,7
"AR_Cross",0,0,2
"AR_Conway",0,0,4
"AR_Bradley",0,0,8
"AL_Pike",0,0,7
"AL_Cullman",0,0,1
"AL_Chilton",0,0,3
"AL_Baldwin",0,0,4
"AL_Autauga",0,0,10
